"key","value"
"Epifita","Pianta che non ha radici nel terreno ma vive su di un'altra senza però trarne sostentamento (es. Edera)."
"Fascicolate","La radice fascicolata è una conformazione dell'apparato radicale delle piante caratterizzate dallo sviluppo uniforme di numerose radici non ramificate, partenti dallo stesso punto. Non si distingue, perciò, un asse principale in cui si inseriscono le radici secondarie."
"Fittonanti","In botanica, di apparato radicale che possiede la parte centrale più sviluppata di quelle circostanti, o anche delle piante con radice a fittone (radice primaria molto sviluppata, con altre secondarie poco sviluppate)."
"Fittone","Radice primaria molto sviluppata, con altre secondarie poco sviluppate."
"Fruticose","Con fusto breve ramificato da terra."
"Galbuli","Cono composto con squame e brattee saldate."
"Glabro","Privo di peli."
"Glauco","Di colore verde-azzurrognolo."
"Glume","Bratee dei fiori delle Graminaceae che si trovano alla base delle spighette e che a volte rinchiudono."
"Guaina","Dilatazione della base del picciolo che avvolge il fusto come entro un anello."
"Imparipennate","Pennate con un numero dispari di foglioline (presenza di fogliolina apicale)."
"Infiorescenze","L’infiorescenza è un insieme di fiori inseriti sullo stesso peduncolo."
"Infruttescenza","Complesso di frutti derivati dai fiori di un’infiorescenza; il termine si usa in particolare se il complesso simula un frutto semplice, per es. gelso e il fico. L’i. si diversifica dal frutto multiplo, perché in questo i singoli frutti derivano da altrettanti pistilli di un unico fiore, come la mora del rovo."
"Internodi","Spazio compreso tra un nodo e il successivo o il precedente."
"Lacinie","Lobi stretti, allungati, generalmente disuguali, nei quali un organo è diviso."
"Lattagogo","Che stimola la produzione di latte."
"Ligula","Linguetta con cui terminano i singoli fiori delle Compositae (tutti, come nel dente di leone, o solo quelli periferici, come nelle margherite)."
"Lirata","Foglia che presenta un grande segmento terminale e quelli laterali gradatamente minori dall'apice verso la base."
"Mero","Parte: 3-mero (in tre parti), 4-mero (in 4 parti) ecc."
"Monoica","Pianta che presenta i fiori maschili e i femminili nello stesso individuo."
"Mucrone","Punta dura e rigida."
"Nervatura","Venatura o nervo più o meno sporgente di vari organi ma specialmente delle foglie."
"Noce","Frutto avvolto da un guscio duro non rivestito a sua volta da una polpa esterna (es. nocciole e ghiande)."
"Nodi","Punto di inserzione delle foglie su fusti e rami, in generale ingrossato."
"Ombrella","Infiorescenza in cui i peduncoli dei fiori partono tutti dallo stesso punto e raggiungono tutti la stessa altezza."
"Ovario","Parte inferiore del pistillo contenente gli ovuli."
"Pappo","Insieme di peli o di setole portate dai frutti di alcune piante, specialmente Compositae."
"Parassita","Pianta che vive su di un'altra traendo il suo nutrimento da quest'ultima che non beneficia in alcun modo della relazione."
"Paripennate","Pennate con un numero pari di foglioline (assenza di fogliolina apicale)."
"Patente","Che forma un angolo quasi retto rispetto al supporto sul quale è inserito."
"Pennate","Foglie composte con divisioni che arrivano sino alla rachide, diventando indipendenti e assumendo la forma di piccole foglie."
"Pennatopartite","Foglie lobate sino ad oltre la metà della distanza tra il margine e il nervo mediano."
"Pennatosette","Foglie divise sino al nervo mediano; composte le cui foglioline sono disposte su due file."
"Perenne","Pianta che vive più di due anni."
"Perianzio","Insieme del calice e corolla quando sono distinti."
"Perigonio","Lo stesso che Perianzio quando non sono distinti calice e corolla ed i petali e i sepali sono sostituiti dai tepali."
"Pistillo","Insieme di due o più carpelli."
"Polloni","Con il termine botanico pollone si indica quella parte di una pianta sotto forma di ramo che si sviluppa direttamente sul tronco o ai piedi dell'albero, a volte anche direttamente dalla radice."
"Pruina","Pulviscolo o sostanza cerosa, facilmente asportabile, con funzione protettiva."
"Pubescente","Rivestito di peli radi, brevi e morbidi."
"Pulvinata","Di aspetto convesso o tondeggiante."
"Racemo","Infiorescenza più o meno ramificata composta da rami più corti dell'asse che li porta."
"Rachide","Asse centrale dell'infiorescenza in continuazione del peduncolo o asse centrale delle foglie composte."
"Reptante","Fusto strisciante che emette radici dalla sua parte inferiore."
"Reste","Appendice filiforme."
"Ricettacolo","Parte superiore del peduncolo o pedicello dove sono inserite tutte le parti del fiore."
"Riflesso","Ripiegato in fuori e in basso."
"Rizoma","Fusto sotterraneo allungato, simile ad una radice, più o meno parallelo alla superficie che produce nuove foglie e fusti."
"Rosetta","Disposizione delle foglie che irraggiano dalla base del fusto verso l'esterno."
"Rosulata","Con foglie tutte basali."
"Samara","Frutto caratterizzato dal contorno, parziale o totale, di ali membranose."
"Scaposa","Con caule radicale privo di foglie portante un fiore o un'infiorescenza, le foglie sono tutte basali."
"Sepali","Ciascuna delle parti che compongono l'involucro fiorale esterno."
"Sericeo","Coperto di peli lisci e lucenti, con aspetto di seta."
"Sessili","Mancante di gambo, picciolo o peduncolo."
"Siliqua","Frutto allungato oltre tre volte la propria larghezza, tipico delle Cruciferae."
"Simbionti","Organismi che vivono insieme con reciproco vantaggio."
"Simpetali","Con petali uniti tra loro almeno alla base."
"Spora","Corpicciolo, spesso microscopico, destinato alla riproduzione nelle Pteridofite."
"Sporangio","Ricettacolo contenente le spore."
"Stame","Organo maschile del fiore costituito dal filamento e dall'antera."
"Stilo","Porzione del pistillo generalmente allungata e sottile congiungente l'ovario con lo stimma."
"Stimma","Parte superiore del pistillo portato dallo stilo."
"Stipole","Espansioni fogliacee o membranacee, più o meno sviluppate, poste ai lati della base del picciolo di molte foglie."
"Stolone","Ramificazione strisciante, lunga e sottile, sopra o sotto il suolo, partente dalla base del fusto che emette radici e germogli."
"Stomachica","Che migliora la funzionalità dello stomaco."
"Strobilo","Pigna o cono, pseudo frutto delle Pinaceae."
"Suffruticose","Pianta con l'aspetto di un piccolo arbusto, con i rami vecchi legnosi e le parti superiori verdi che si rinnovano annualmente."
"Tallofita","Pianta primitiva o poco evoluta, non differenziata in radici, fusto e foglie."
"Tepali","Parti del fiore, più o meno uguali, che sostituiscono sepali e petali e formano il Perigonio."
"Tomento","Copertura di peli corti, fitti e molli."
"Topiaria","Tecnica di potatura dei giardini ornamentali, impiegata per modellare piante su figure geometriche o come sculture viventi."
"Turione","Giovane germoglio squamoso sviluppantesi da un fusto sotterraneo."
"Uninervie","Con una sola nervatura."
"Verticillo","Riunione di almeno tre organi nascenti dallo stesso punto (ciclici)."
"Vessillo","Petalo superiore più grande tipico delle Papilionaceae."
"Viticci","I viticci o cirri sono foglie modificate con funzione di sostegno, permettendo alla pianta di aggrapparsi ad altre piante o a sostegni vari. I viticci sono caratteristici di piante con il fusto gracile, che non si possono mantenere in posizione eretta."
"Xerofita","Piante in grado di sopravvivere in condizioni di siccità."
"Zigomorfo","Organo asimmetrico irregolare, divisibile in due metà specularmente uguali solo su di un piano."
